"id","short_citation","year","author","long_citation","url","created_at","updated_at","approved","bibtex"
698,"Gramsch","1973","Gramsch, Bernhard","Das Mesolithikum im Flachland zwischen Elbe und Oder T. 1. Veröffentlichungen des Museums für Ur- und Frühgeschichte Potsdam 7 (Berlin1973).","","2011-10-20 08:58:16.867129","2014-05-21 14:31:56.849156",,"

@book{GBV-78102997X,
 author = {Gramsch, Bernhard},
 title = {Das Mesolithikum im Flachland zwischen Elbe und Oder T. 1},
 year = {1973},
 series = {Veröffentlichungen des Museums für Ur- und Frühgeschichte
Potsdam},
volume = {7},
 address = {Berlin},
}"
694,"Müller1998","1998","J. Müller","J. Müller, Zur absolutchronologischen Datierung der europäischen Megalithik. In: Fritsch et al. (Hrsg.), Tradition und Innovation. Prähistorische Archäologie als historische Wissenschaft. Festschrift Ch. Strahm (Rahden/Westf. 1998) 63-105.","","2011-10-20 08:06:02.164006","2011-10-20 08:06:02.164006",,""
859,"Barker et al. 1971","1971","Barker, Harold and Burleigh, Richard and Meeks, Nigel","British Museum natural radiocarbon measurements VII.. Radiocarbon 13 / 2, 1971, 157--188.","","2014-05-06 09:31:11.578255","2014-05-06 09:31:11.578255",,"@article{barker1971british,
  title={British Museum natural radiocarbon measurements VII.},
  author={Barker, Harold and Burleigh, Richard and Meeks, Nigel},
  journal={Radiocarbon},
  volume={13},
  number={2},
  pages={157--188},
  year={1971}
}"
1204,"González-Gómez/Villafranca-Sánchez 1997","1997","González-Gómez, C. / Villafranca-Sánchez, E.","University of Granada Radiocarbon Dates VII. In: Radiocarbon 39/1, 1997. 73-77.","","2014-07-22 10:28:24.257864","2014-07-22 10:28:24.257864",,""
647,"Senabre et al. 1994","1994","Senabre, M.R. / Socias, J. / Nadal, J.","Pou Nou-2 (Olèrdola, Alt Penedès). Memòria de l’excavació d’urgència, abril-juny 1993, Servei d’Arqueologia de la Generalitat de Catalunya 1994. Unpublished. ","http://www20.gencat.cat/docs/CulturaDepartament/DGPC/Documents/Documents2008/qmem1779_web.pdf.pdf","2011-10-13 20:10:06","2014-07-22 11:45:53.341547",,""
708,"Cahen et al. 1987","1987","D. Cahen, J-P. Caspar, F. Gosselin, A. Hauzeur","D. Cahen, J-P. Caspar, F. Gosselin, A. Hauzeur, Le village rubané fortifié de Darion (Province de Liège). Archäologisches Korrespondenzblatt 17, 1987, 59-69.","","2011-10-24 07:34:18.520762","2011-10-24 07:34:18.520762",,""
709,"Eisenhauer1996","1996","U. Eisenhauer","U. Eisenhauer, Untersuchungen zur Siedlungs- und Kulturgeschichte des Mittelneolithikums in der Wetterau. Ungedr. Diss. Frankfurt a. M.","","2011-10-24 07:59:12.722453","2011-10-24 07:59:12.722453",,""
642,"Rodríguez/Yll 1992","1992","Rodríguez, A. / Yll, R.","Materias primas y cadenas operativas en el yacimiento epipaleolítico de El Roc del Migdia (Vilanova de Sau, Barcelona). In: Mora, R., Terradas, X., Parpal, A., Plana, C. (eds.), Tecnología y cadenas operativas líticas. Treballs d’Arqueologia 1 (Barcelona 1992). 73-82.","","2011-10-13 20:10:06","2014-07-22 13:17:00.655898",,""
712,"Wetzel","1988","Wetzel, Günter","Wetzel, Günter: Neue frühneolithische Funde aus dem Bezirk Cottbus. Verööfentlichungen des Museums für Ur- und Frühgeschichte Potsdam, 22 (Berlin 1988), 27 ff","","2011-10-24 08:40:21.890489","2011-10-24 08:40:21.890489",,""
714,"Petrasch/Kromer1989","1989","J. Petrasch, B. Kromer","J. Petrasch, B. Kromer, Aussagemöglichkeiten von 14C-Daten zur Verfüllungsgeschichte prähistorischer Gräben am Beispiel der mitttelneolithischen Kreisgrabenanlage von Künzing-Unternberg, Ldkr. Deggendorf","","2011-10-24 11:07:21.730423","2011-10-24 11:07:21.730423",,""
867,"Whittle et al. 2011","2011","Whittle, Alasdair William Richardson and Healy, Frances Margaret Alton and Bayliss, Alexandra","Gathering time: dating the early Neolithic enclosures of southern Britain and Ireland (2011).","","2014-05-06 10:14:17.865267","2014-05-06 10:14:17.865267",,"@book{whittle2011gathering,
  title={Gathering time: dating the early Neolithic enclosures of southern Britain and Ireland},
  author={Whittle, Alasdair William Richardson and Healy, Frances Margaret Alton and Bayliss, Alexandra},
  year={2011},
  publisher={Oxbow Books}
}"
620,"Muñoz 1965","1965","Muñoz, A.M.","La primera fecha de C14 para un sepulcro de fosa catalan. In: Pyrenae 1, 1965,  31-41.","","2011-10-13 20:10:06","2014-07-23 16:03:30.748069",,"@article{amilibia1965primera,
  title={La primera fecha de C 14 para un sepulcro de fosa catalán},
  author={AMuñoz, A.M.,
  journal={Pyrenae},
  number={1},
  pages={31--41+},
  year={1965}
}
"
720,"Protsch & Weninger","1984","Protsch, Reiner & Bernhard Weninger","Protsch, Reiner & Bernhard Weninger: Frankfurt Radiocarbon dates I. Radiocarbon 26, No. 2, (1984) 185-195","","2011-10-25 15:22:30.895173","2011-10-25 15:22:30.895173",,""
723,"Kowalczyk1968","1968","J. Kowalczyk","J. Kowalczyk, A settlement of the Funnel Beaker Culture at Gródek Nadbużny in the Hrubieszów District. Archaeologia Polona 4, 1962, 111-120.","","2011-10-26 12:46:07.422596","2011-10-26 12:46:07.422596",,""
283,"Aaris-Sørensen1978","1978","K. Aaris-Sørensen","K. Aaris-Sørensen, Knoglematerialet fra den mellemneolitiske boplads ved Korsnäs. Riksantikvarieämbetet och Statens historiska museer, Rapport 1978:8.
","","","2011-11-08 08:01:28.765871",,""
389,"Algotsson 1996","1996","Å. Algotsson","Å. Algotsson, Rapport En mellanneolitsk hällkista? Borttagning av hällkista, fornlämning 26, Falköpings stad och socken, Västergötland","","","2011-11-08 08:03:27.565794",,""
411,"Bägerfeldt1987","1987","L. Bägerfeldt","L. Bägerfeldt, Undersökningsrapport. Västergötland, Gökhems sn,
Landbogården 11:1, Raä 17. Undersökning av en gånggrift 1987.","","","2011-11-08 08:06:51.626559",,""
863,"Gilot et al. 1966","1966","Gilot, E and Ancion, N and Capron, PCnbsp","Louvain natural radiocarbon measurements IV.. Radiocarbon 8 / 1, 1966, 248--255.","","2014-05-06 10:02:41.031073","2014-05-06 10:02:41.031073",,"@article{gilot1966louvain,
  title={Louvain natural radiocarbon measurements IV.},
  author={Gilot, E and Ancion, N and Capron, PCnbsp},
  journal={Radiocarbon},
  volume={8},
  number={1},
  pages={248--255},
  year={1966}
}"
660,"Vaquero 2004","2004","Vaquero, M.","L’Abric Agut (Capellades, Anoia). In: M. Monells (Ed.), Actes de les Jornades d’Arqueologia i Paleontologia: Comarques de Barcelona 1996-2001: La Garriga, 29 i 30 de novembre i 1 de desembre de 2001 (Barcelona 2004).  p. 67-74.","","2011-10-13 20:10:06","2014-07-22 09:05:10.280147",,"@inproceedings{vaquero2004abric,
  title={L'Abric Agut (Capellades, Anoia)},
  author={Vaquero, M.},
  booktitle={Actes de les Jornades d'Arqueologia i Paleontologia 2001: Comarques de Barcelona 1996-2001: La Garriga, 29 i 30 de novembre, 1 de desembre de 2001},
  pages={67--74},
  year={2004},
  organization={Departament de Cultura}
}"
639,"Ribé 1993","1993","Ribé, G.","Espai i territori entre el Neolític antic i el Neolític mitjà. Aproximació a un estudi d’arqueologia espacial al Penedès. Tesis de Licenciatura (Barcelona 1993).","","2011-10-13 20:10:06","2014-07-22 12:07:00.194641",,"@phdthesis{ribe1993espai,
  title={Espai i territori entre el Neolític antic i el Neolític mitjà. Aproximació a un estudi d’arqueologia espacial al Penedès},
  author={Ribé, G.},
  year={1993},
  school={Tesis de Licenciatura}
}
"
656,"Tarrús/Chinchilla 1985","1985","Tarrús, J. / Chinchilla, J.","El jaciment a l’aire lliure del Neolític Final de Riera Masarac (Pont de Molins, Alt Empordà). In: Empúries 47, 1985. 42-69.","","2011-10-13 20:10:06","2014-07-22 12:53:34.911947",,"@article{tarrus47chinchilla,
  title={El jaciment a l’aire lliure del Neolític Final de Riera Masarac (Pont de Molins, Alt Empordà)},
  author={Tarrús, J. and Chinchilla, J.},
  journal={Empúries},
  volume={47},
  pages={42}
}
"
873,"Wamser 1980","1980","Wamser","L. Wamser, Ausgrabungen und Funde in Unterfranken 1979. Frankenland N. F. 32, 1980, 79-182.","","2014-05-06 12:58:01.736542","2014-05-06 12:58:01.736542",,""
742,"Kooijmans2011","2011","L.P.L. Kooijmans","The earliest pottery in the western part of the North German Plain and its inspirations. Bericht der Römisch-Germanischen Kommission 89, 2011, 443-463.","","2011-11-22 12:36:49.052116","2014-05-21 13:02:18.640868",,"@article{GBV-770661742,
 author = {Louwe Kooijmans, Leendert P.},
 title = {The earliest pottery in the western part of the North German Plain
and its inspirations},
 journal = {Bericht der Römisch-Germanischen Kommission},
 year = {2011},
 volume = {89},
 pages = {443-463},
}"
340,"Bägerfeldt 1992","1992","L. Bägerfeldt","Megalitgravarna i Sverige : typ, tid, rum och social miljö (Gamleby1992).","","","2014-05-21 13:22:09.341179",,"@book{GBV-218641699,
 author = {Bägerfeldt, Lars},
 title = {Megalitgravarna i Sverige : typ, tid, rum och social miljö},
 year = {1992},
 address = {Gamleby},
 edition = {2. rev. uppl},
}"
158,"Tauber 1966","1966","Tauber, Henrik","Danske Kulstoff-14 Dateringer af Arkæologiske Prøver II. Aarbøger, 102-130.","","2010-11-04 12:59:43","2011-11-21 08:53:49.486801",,""
73,"Kjærum 1955","1955","Kjærum, Povl","Tempelhus fra Stenalderen. Kuml, 7-35.","","2010-11-04 12:59:43","2011-11-21 08:53:49.51024",,""
422,"Welinder pers medd","","","","","","2011-11-21 12:46:21.640672",,""
441,"brev fr Alan Kilpatrick 18/10 1987","","","","","","2011-12-01 11:52:10.307326",,""
747,"Hallgren/Sundström2007","2007","Hallgren, Sundström","","","2011-12-13 11:55:21.636771","2011-12-13 11:55:21.636771",,""
748,"Fors/Viking1995","1995","Fors, Viking","","","2011-12-13 11:57:21.118434","2011-12-13 11:57:21.118434",,""
749,"Svensson2011","2011","Svensson","","","2011-12-13 11:57:21.129056","2011-12-13 11:57:21.129056",,""
752,"Öresundsförbindelsen","","","","","2011-12-13 12:07:30.177192","2011-12-13 12:07:30.177192",,""
452,"Allué et al. 1992","1992","Allué, E. / Carbonell, E. / Cervera, M.M. / Bermúdez De Castro, J.M. / Boj, I. / Esteban, M. / Estirado, R.M. / Fernández, Y. / Gabarró, J.M. / Hortolà, P. / Lorenzo, C. / Miró, J.M. / Ollé, A. / Pastó, I. / Perales, C. / Prats, J.M. / Rodríguez, X.P. / R","Picamoixons: un assentament estratègic dels darrers caçadors-recol·lectors. Arqueologia d’intervenció 1 (Tarragona 1992).","","2011-10-13 20:10:06","2014-07-22 10:13:59.74767",,"@book{allue1992picamoixons,
  title={Picamoixons: un assentament estratègic dels darrers caçadors-recol·lectors},
  author={Allué, E. and Carbonell, E. and Cervera, M.M. and Bermúdez de Castro, J.M. and Boj, I. and Esteban, M. and Estirado, R.M. and Fernández
Jalvo, Y. and Gabarró, J.M. and Hortolà, P. and Lorenzo, C. and Miró, J.M. and Ollé, A. and Pastó, I. and Perales, C. and Prats, J.M. and
Rodríguez, X.P. and Rosell, J. and Sala, R., Vallverdú, J. and Vaquero, M. and Vergés, J.M.},
  year={1992},
  publisher={Museu d'Hist{\`o}ria de Tarragona}
}
"
875,"Othenin-Girard 1997","1997","Othenin-Girard, Blaise","Le campaniforme d'Alle, Noir Bois (Jura, Suisse). Cahier d'archéologie jurassienne ; 7 (Porrentruy1997).","","2014-05-06 13:50:01.17143","2014-05-06 13:50:01.17143",,"@book{GBV-306843692,
 author = {Othenin-Girard, Blaise},
 editor = {Affolter, Jehanne},
 title = {Le campaniforme d'Alle, Noir Bois (Jura, Suisse)},
 publisher = {Office du Patrimoine Historique},
 year = {1997},
 series = {Cahier d'archéologie jurassienne ; 7},
 address = {Porrentruy},
 note = {Includes bibliographical references},
 pages = {207 p},
}"
879,"Turek 1998","1998","Turek","J. Turek, Late Eneolithic and Early Bronze Age skeletal samples from Bohemia. A Radiocarbon dating Projekt. List of samples. Manuskript (Prag 1998).","","2014-05-06 14:18:15.773598","2014-05-06 14:18:15.773598",,""
757,"PP","","","","","2011-12-13 12:17:34.965922","2011-12-13 12:17:34.965922",,""
566,"López Cachero 2008","2008","López Cachero, F.J.","Necrópolis de incineración y arquitectura funeraria en el noreste de la Península Ibérica durante el Bronce final i la Primera edad del Hierro. In: Complutum 19/1, 2008, 139-171.","","2011-10-13 20:10:06","2014-07-22 12:39:50.257753",,"@article{cachero2008necropolis,
  title={Necrópolis de incineración y arquitectura funeraria en el noreste de la Península Ibérica durante el Bronce final i la Primera edad del Hierro},
  author={López Cachero, F. J.},
  journal={Complutum},
  volume={19},
  number={1},
  pages={139--171},
  year={2008}
}
"
715,"Lanting et al. 1999/2000","1999/2000","Lanting, J.N. & Pflicht, J. van der","Lanting, J.N. & Pflicht, J. van der: De 14 C-chronologie van de Nederlandse pre en protohistorie, III: Neolithicum. Palaeohistoria 41/42 (Groningen 1999/2000), 1 ff","","2011-10-24 13:08:14.746433","2011-12-19 12:05:16.480276",,""
390,"Axelsson & Persson 1995","1995","T. Axelsson, P. Persson","T. Axelsson, P. Persson, Rapport. Undersökning av gånggrift. Raä nr 3, Falköpings stad, Västergötland. Gotarc, Series D, 30. 1995","","","2011-12-28 14:26:43.346625",,""
271,"Nordqvist 1996","","","","","","2012-01-02 15:55:50.039137",,""
327,"Sjögren 2007","","","","","","2012-01-04 13:24:05.870857",,""
190,"AUD 1999","1999","n.a.","Arkæologiske udgravninger i Danmark 1999.","","","2012-01-05 07:26:18.326593",,""
184,"AUD 1991","1991","n.a.","Arkæologiske udgravninger i Danmark 1991.","","","2012-01-05 07:26:34.811177",,""
261,"AUD 1990","1990","n.a.","Arkæologiske udgravninger i Danmark 1990.","","","2012-01-05 07:26:50.028425",,""
186,"AUD 1996","1996","n.a.","Arkæologiske udgravninger i Danmark 1996.","","","2012-01-05 07:27:26.393464",,""
192,"AUD 2001","2001","n.a.","Arkæologiske udgravninger i Danmark 2001.","","","2012-01-05 07:29:11.711625",,""
193,"AUD 2000","2000","n.a.","Arkæologiske udgravninger i Danmark 2000.","","","2012-01-05 07:29:39.828604",,""
188,"AUD 1998","1998","n.a.","Arkæologiske udgravninger i Danmark 1998.","","","2012-01-05 07:29:55.686286",,""
268,"AUD 1997","1997","n.a.","Arkæologiske udgravninger i Danmark 1997.","","","2012-01-05 07:30:08.818722",,""
267,"AUD 1994","1994","n.a.","Arkæologiske udgravninger i Danmark 1994.","","","2012-01-05 07:30:19.952155",,""
266,"AUD 1993","1993","n.a.","Arkæologiske udgravninger i Danmark 1993.","","","2012-01-05 07:30:32.4317",,""
259,"AUD 1989","1989","n.a.","Arkæologiske udgravninger i Danmark 1989.","","","2012-01-05 07:30:45.215619",,""
258,"AUD 1988","1988","n.a.","Arkæologiske udgravninger i Danmark 1988.","","","2012-01-05 07:30:58.44113",,""
257,"AUD 1987","1987","n.a.","Arkæologiske udgravninger i Danmark 1987.","","","2012-01-05 07:31:10.509323",,""
880,"Evans/Hodder 2006","2006","Evans, Christopher and Hodder, Ian","A Woodland Archaeology: Neolithic Sites a Haddenham 1 (2006).","","2014-05-07 08:42:04.79633","2014-05-07 08:42:04.79633",,"@book{evans2006woodland,
  title={A Woodland Archaeology: Neolithic Sites a Haddenham},
  author={Evans, Christopher and Hodder, Ian},
  volume={1},
  year={2006},
  publisher={McDonald Inst of Archeological}}
"
882,"Hey et al. 2007","2007","Hey, G and Dennis, C and Mayes, A","Archaeological Investigations on Whiteleaf Hill, Princes Risborough, Buckinghamshire, 2002-6. Records of Buckinghamshire 47 / 2, 2007, 1.","","2014-05-07 09:16:08.87177","2014-05-07 09:16:08.87177",,"@article{hey2007archaeological,
  title={Archaeological Investigations on Whiteleaf Hill, Princes Risborough, Buckinghamshire, 2002-6},
  author={Hey, G and Dennis, C and Mayes, A},
  journal={Records of Buckinghamshire},
  volume={47},
  number={2},
  pages={1},
  year={2007},
  publisher={BUCKS ARCHAEOLOGICAL SOCIETY}
}"
890,"McAvoy 2000","2000","McAvoy, F","The development of a Neolithic monument complex at Godmanchester, Cambridgeshire. Prehistoric, Roman, and Post-Roman Landscapes of the Great Ouse Valley, 2000, 51--56.","","2014-05-07 10:01:17.699865","2014-05-07 10:01:17.699865",,"@article{mcavoy2000development,
  title={The development of a Neolithic monument complex at Godmanchester, Cambridgeshire},
  author={McAvoy, F},
  journal={Prehistoric, Roman, and Post-Roman Landscapes of the Great Ouse Valley},
  pages={51--56},
  year={2000}
}"
78,"Lanting/Mook 1977","1977","J. N. Lanting, W.G. Mook","The pre- and protohistory of the Netherlands in the terms of radiocarbon dates (Groningen1977).","","2010-11-04 12:59:43","2014-05-21 12:20:17.430998",,"

@book{GBV-183269209,
 author = {Lanting, J.N. and Mook, W.G.},
 title = {The pre- and protohistory of the Netherlands in the terms of
radiocarbon dates},
 year = {1977},
 address = {Groningen},
}"
756,"Siech&Berggren2002","2002","S. Siech, Å. Berggren","Öresundsförbindelsen : Petersborg 6. In: , Öresundsförbindelsen / rapport över arkeologisk slutundersökning. Rapport / Malmö kulturmiljö 15 (Malmö2002).","","2011-12-13 12:16:34.377271","2014-05-21 12:32:49.049758",,"@inbook{GBV-363581154,
 author = {Siech, Susanne and Berggren, Åsa},
 title = {Öresundsförbindelsen : Petersborg 6},
 year = {2002},
 booktitle = {Öresundsförbindelsen / rapport över arkeologisk
slutundersökning},
 series = {Rapport / Malmö kulturmiljö},
 address = {Malmö},
volume = {15}
}"
173,"Wotzka et al. 2002","2002","Wotzka, Hans-Peter / Laufer, Eckhard / Posselt, Martin / Starossek, Bernd","""Periphere"" Plätze der späten Bandkeramik im Usinger Becken (Östlicher Hintertaunus, Hessen). Vorbericht für die Jahre 1999 und 2000. Berichte der Kommission für Archäologische Landesforschung in Hessen 6, 2001, 53-75.","","2010-11-04 12:59:43","2014-05-28 12:45:31.911394",,"@article{GBV-474051870,
 author = {Starossek, Bernd and Wotzka, Hans-Peter and Laufer, Eckhard},
 editor = {Posselt, Martin},
 title = {""Periphere"" Plätze der späten Bandkeramik im Usinger Becken
(Östlicher Hintertaunus, Hessen). Vorbericht für die Jahre 1999 und 2000},
 pages = {53-75},
 year = {2001},
 volume = {6},
 journal = {Berichte der Kommission für Archäologische Landesforschung in
Hessen},
}"
1049,"Quitta 1973","1973","H. Quitta","H. Quitta, Lepenski Vir : eine vorgeschichtliche Geburtsstätte europäischer Kultur (Bergisch Gladbach 1973).","","2014-07-02 15:32:54.664526","2014-07-02 15:32:54.664526",,"@book{GBV-053286561,
 author = {Srejović, Dragoslav},
 title = {Lepenski Vir : eine vorgeschichtliche Geburtsstätte europäischer
Kultur},
 publisher = {Lübbe},
 year = {1973},
 series = {Neue Entdeckungen der Archäologie},
 address = {Bergisch Gladbach},
 edition = {Erw. u. neubearb. dt. Ausg.},
 note = {Literaturangaben.},
 pages = {294 S.},
}"
1051,"","","","","","2014-07-03 07:08:19.543975","2014-07-03 07:08:19.543975",,""
1053," Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements. In: Radiocarbon IX.Vol 25. 1. P 59-128","","2014-07-03 07:13:09.658349","2014-07-03 07:13:09.658349",,""
1058,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements. In: Radiocarbon IX.Vol 25. 1. P 59-128","","2014-07-03 07:18:11.340776","2014-07-03 07:18:11.340776",,""
1064,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements. In: Radiocarbon IX.Vol 25. 1. P 59-128
","","2014-07-03 07:24:25.706772","2014-07-03 07:24:25.706772",,""
1029,"Evin et al.","1969","Evin, Jacques/ Longin, R./ Pachiaudi, Ch. ","Lyon natural radiocarbon measurements. In: Radiocarbon I.Vol 11.1. P 112-117","","2014-06-26 11:45:27.38349","2014-07-03 07:26:28.321641",,""
1068,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements IX. In: Radiocarbon Vol 25.1. P 59-128","","2014-07-03 07:40:35.55555","2014-07-03 07:40:35.55555",,""
1069,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements IX. In: Radiocarbon Vol 25.1. P 59-128","","2014-07-03 07:42:07.50231","2014-07-03 07:42:07.50231",,""
1075,"Evin et al. 1979","1979","Evin, Jacques/ Longin, R./ Pachiaudi, Ch.","Lyon natural radiocarbon measurements VIII. In: Radiocarbon. Vol. 21.3. P 405-452","","2014-07-03 07:51:30.313982","2014-07-03 07:51:30.313982",,""
1077,"Evin et al. 1979","1979","Evin, Jacques/ Longin, R./ Pachiaudi, Ch. ","Lyon natural radiocarbon measurements VIII. In: Radiocarbon. Vol. 21.3. P 405-452","","2014-07-03 07:54:46.340373","2014-07-03 07:54:46.340373",,""
1080,"Evin et al. 1978","1978","Evin, Jacques/Pachiaudi, Ch./Marien, Gerard","Lyon natural radiocarbon measurements VII. In: Radiocarbon Vol. 20.1. P 19-57","","2014-07-03 08:05:44.487142","2014-07-03 08:05:44.487142",,""
1079,"Evin et al. 1978","1978","Evin, Jacques/Pachiaudi, Ch./Marien, Gerard","Lyon natural radiocarbon measurements VII. In: Radiocarbon Vol. 20.1. P 19-57","","2014-07-03 08:04:35.054404","2014-07-03 08:06:42.412104",,""
881,"Childe/Smith 1954","1954","Childe, VG and Smith, IF","Excavation of a Neolithic Barrow on Whiteleaf Hill, Bucks.","","2014-05-07 09:10:58.996208","2014-05-07 09:10:58.996208",,"@inproceedings{childe1954excavation,
  title={Excavation of a Neolithic Barrow on Whiteleaf Hill, Bucks},
  author={Childe, VG and Smith, IF},
  booktitle={Proceedings of the Prehistoric Society},
  volume={20},
  pages={212--30},
  year={1954}
}"
888,"Ellis et al. 2004","2004","Ellis, CJ and Allen, Michael J and Archaeology, Wessex","A prehistoric ritual complex at Eynesbury, Cambridgeshire: excavation of a multi-period site in the Great Ouse Valley, 2000-2001 (2004).","","2014-05-07 09:44:07.551568","2014-05-07 09:44:07.551568",,"@book{ellis2004prehistoric,
  title={A prehistoric ritual complex at Eynesbury, Cambridgeshire: excavation of a multi-period site in the Great Ouse Valley, 2000-2001},
  author={Ellis, CJ and Allen, Michael J and Archaeology, Wessex},
  year={2004},
  publisher={Trust for Wessex Archaeology Limited}
}"
889,"Malim 2000","2000","Malim, T","The ritual landscape of the Neolithic and Bronze Age along the middle and lower Ouse valley. Prehistoric, Roman and Post-Roman Landscapes of the Great Ouse Valley, Council for British Archaeology, York, 2000, 57--88.","","2014-05-07 09:54:55.092686","2014-05-07 09:54:55.092686",,"@article{malim2000ritual,
  title={The ritual landscape of the Neolithic and Bronze Age along the middle and lower Ouse valley},
  author={Malim, T},
  journal={Prehistoric, Roman and Post-Roman Landscapes of the Great Ouse Valley, Council for British Archaeology, York},
  pages={57--88},
  year={2000}
}"
891,"Evans et al. 1999","1999","Evans, Christopher and Pollard, Joshua and Knight, Markr","Life in the Woods: Tree-throws,‘Settlement’and Forest Cognition. Oxford Journal of Archaeology 18 / 3, 1999, 241--254.","","2014-05-07 10:32:02.580735","2014-05-07 10:32:02.580735",,"@article{evans1999life,
  title={Life in the Woods: Tree-throws,‘Settlement’and Forest Cognition},
  author={Evans, Christopher and Pollard, Joshua and Knight, Markr},
  journal={Oxford Journal of Archaeology},
  volume={18},
  number={3},
  pages={241--254},
  year={1999},
  publisher={Wiley Online Library}
}"
751,"Sarnäs & Nord Paulsson2001","2001","P. Sarnäs, J. Nord Paulsson","Öresundsförbindelsen : Skjutbanorna 1B & Elinelund 2A-B. In: , Öresundsförbindelsen / rapport över arkeologisk slutundersökning. Rapport / Malmö kulturmiljö 9 (Malmö2001).","","2011-12-13 12:07:30.172372","2014-05-21 12:34:18.84315",,"

@inbook{GBV-359886566,
 author = {Sarnäs, Per and Nord Paulsson, Jenny},
 title = {Öresundsförbindelsen : Skjutbanorna 1B & Elinelund 2A-B},
  year = {2001},
 booktitle = {Öresundsförbindelsen / rapport över arkeologisk
slutundersökning},
 series = {Rapport / Malmö kulturmiljö},
volume = {9},
 address = {Malmö},
 
}"
750,"Lindhe/Sarnäs/Steineke2002","2002","E. Lindhe, P. Sarnäs, M. Steineke","Citytunnelprojektet : rapport över arkeologiska förundersökningar. Rapport / Malmö Kulturmiljö 38 (Malmö2002).","","2011-12-13 12:04:53.192819","2014-05-21 12:37:12.725728",,"

@book{GBV-516681885,
 editor = {Lindhé, Eva},
 title = {Citytunnelprojektet : rapport över arkeologiska
förundersökningar},
 year = {2002},
 series = {Rapport / Malmö Kulturmiljö},
 address = {Malmö},
volume = {38}
}"
328,"Niklasson 1962","1962","N. Niklasson","Rörby : en mellanneolitisk boplats i Tossene sn, Bohuslän. Studier i nordisk arkeologi 4 (Göteborg1962).","","","2014-05-21 12:40:32.822673",,"

@book{GBV-065914147,
 author = {Niklasson, Nils},
 title = {Rörby : en mellanneolitisk boplats i Tossene sn, Bohuslän},
 year = {1962},
 series = {Studier i nordisk arkeologi},
volume = {4},
 address = {Göteborg},
}"
1050,"Manen 2000","2000","C. Manen"," C. Manen, Le Néolithique ancien entre Rhône et Ebre: analyse des céramiques décorées. Thèse de doctorat Nouveau Règime (Paris 2000).","","2014-07-02 15:42:09.972388","2014-07-02 15:42:09.972388",,"@phdthesis{GBV-588578134,
 author = {Manen, Claire},
 title = {Le néolithique ancien entre Rhône et Ebre : analyse des
céramiques décorées},
 school = {Paris, Univ., Diss., 2000},
 year = {2000},
 note = {Sekundärausg. eines mehrbändigen begrenzten Werkes},
}"
1052,"  Evin et al.  1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements. In: Radiocarbon IX.Vol 25. 1. P 59-128","","2014-07-03 07:12:06.996592","2014-07-03 07:12:06.996592",,""
1054,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements. In: Radiocarbon IX.Vol 25. 1. P 59-128","","2014-07-03 07:13:59.469047","2014-07-03 07:13:59.469047",,""
1067," Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements IX. In: Radiocarbon Vol 25.1. P 59-128","","2014-07-03 07:38:54.729451","2014-07-03 07:38:54.729451",,""
1070,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements IX. In: Radiocarbon Vol 25.1. P 59-128
","","2014-07-03 07:43:30.647442","2014-07-03 07:43:30.647442",,""
1072,"Evin et al. 1983","1983","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Lyon natural radiocarbon measurements IX. In: Radiocarbon Vol 25.1. P 59-128","","2014-07-03 07:46:34.858679","2014-07-03 07:46:34.858679",,""
1081,"Evin et al. 1978","1978","Evin, Jacques/Pachiaudi, Ch./Marien, Gerard","Lyon natural radiocarbon measurements VII. In: Radiocarbon Vol. 20.1. P 19-57","","2014-07-03 08:08:17.122789","2014-07-03 08:08:17.122789",,""
1082,"","","","","","2014-07-03 09:22:32.423942","2014-07-03 09:22:32.423942",,""
1083,"Vogel et al. 1967","1967","Vogel, J.C./Waterbolk, H.T.","Groningen radiocarbon dates vii. In: Radiocarbon Vol. 9. P 107-155","","2014-07-03 10:21:05.453999","2014-07-03 10:21:05.453999",,""
1090,"Delibrias et al. 1988","1988","Delibrias, G./Guillier, M.T.","Gif natural radiocarbon measurements; XI. In: Radiocarbon Vol. 30.1. P 61-124","","2014-07-03 10:49:30.034804","2014-07-03 10:49:30.034804",,""
